M2,0
AGC,40
AGC,64
STATUS,12
C1,0
C2,0
AGC,64
M1,0
M2,0
C1,0
C2,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,1
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
M1,0
M2,0
C1,0
C2,0
